time,dl_lw1,dl_lw2,dl_lw3,dl_lw4
2025-05-31 23:22:01.160940,6.33,0,0,0
2025-05-31 23:22:02.153014,13.5,0,0,0
2025-05-31 23:22:03.170045,19.82,0,0,0
2025-05-31 23:22:04.163156,26.15,0,0,0
2025-05-31 23:22:05.161430,32.48,0,0,0
2025-05-31 23:22:06.164864,38.81,0,0,0
2025-05-31 23:22:07.171880,45.14,0,0,0
2025-05-31 23:22:08.177772,50.6,0,0,0
2025-05-31 23:22:09.162931,56.92,0,0,0
2025-05-31 23:22:10.168833,63.25,0,0,0
2025-05-31 23:22:11.158295,69.58,0,0,0
2025-05-31 23:22:12.165029,77.35,0,0,0
2025-05-31 23:22:13.188978,85.12,0,0,0
2025-05-31 23:22:14.205612,92.89,0,0,0
2025-05-31 23:22:15.207677,100.66,0,0,0
2025-05-31 23:22:16.220755,108.43,0,0,0
2025-05-31 23:22:17.244953,116.2,0,0,0
2025-05-31 23:22:18.257762,123.97,0,0,0
2025-05-31 23:22:19.263492,131.74,0,0,0
2025-05-31 23:22:20.286911,139.51,0,0,0
2025-05-31 23:22:21.277212,147.28,0,0,0
2025-05-31 23:22:22.303774,155.05,0,0,0
2025-05-31 23:22:23.324821,162.82,0,0,0
2025-05-31 23:22:24.340909,170.59,0,0,0
2025-05-31 23:22:25.362460,178.36,0,0,0
2025-05-31 23:22:26.355507,186.13,0,0,0
2025-05-31 23:22:27.377188,193.9,0,0,0
2025-05-31 23:22:28.370296,201.67,0,0,0
2025-05-31 23:22:29.394848,209.44,0,0,0
2025-05-31 23:22:30.416115,217.21,0,0,0
2025-05-31 23:22:31.430962,224.98,0,0,0
2025-05-31 23:22:32.472885,232.75,0,0,0
2025-05-31 23:22:33.454064,240.52,0,0,0
2025-05-31 23:22:34.481015,248.29,0,0,0
2025-05-31 23:22:35.477047,256.06,0,0,0
2025-05-31 23:22:36.506038,263.83,0,0,0
2025-05-31 23:22:37.532475,271.6,0,0,0
2025-05-31 23:22:38.533826,279.37,0,0,0
2025-05-31 23:22:39.547263,287.14,0,0,0
2025-05-31 23:22:40.556940,294.91,0,0,0
2025-05-31 23:22:41.593772,302.68,0,0,0
2025-05-31 23:22:42.607434,309.85,0,0,0
2025-05-31 23:22:43.631997,317.02,0,0,0
2025-05-31 23:22:44.636542,324.18,0,0,0
2025-05-31 23:22:45.655812,330.51,0,0,0
2025-05-31 23:22:46.681971,335.97,0,0,0
2025-05-31 23:22:47.733432,340.62,0,0,0
2025-05-31 23:22:48.734140,345.27,0,0,0
2025-05-31 23:22:49.742900,349.09,0,0,0
2025-05-31 23:22:50.774378,352.91,0,0,0
2025-05-31 23:22:51.805766,356.29,0,0,0
2025-05-31 23:22:52.816956,360.11,0,0,0
2025-05-31 23:22:53.826125,363.93,0,0,0
2025-05-31 23:22:54.846786,366.6,0,0,0
2025-05-31 23:22:55.854380,369.28,0,0,0
2025-05-31 23:22:56.876469,371.95,0,0,0
2025-05-31 23:22:57.883017,374.63,0,0,0
2025-05-31 23:22:58.894840,377.3,0,0,0
2025-05-31 23:22:59.906102,379.97,0,0,0
2025-05-31 23:23:00.932888,382.05,0,0,0
2025-05-31 23:23:01.943597,384.12,0,0,0
2025-05-31 23:23:02.950107,386.19,0,0,0
2025-05-31 23:23:03.966542,388.26,0,0,0
2025-05-31 23:23:04.985138,390.33,0,0,0
2025-05-31 23:23:06.008884,391.99,0,0,0
2025-05-31 23:23:07.025858,394.06,0,0,0
2025-05-31 23:23:08.054421,396.13,0,0,0
2025-05-31 23:23:09.076572,397.36,0,0,0
2025-05-31 23:23:10.098143,399.01,0,0,0
2025-05-31 23:23:11.099012,400.67,0,0,0
2025-05-31 23:23:12.112344,401.9,0,0,0
2025-05-31 23:23:13.135128,403.13,0,0,0
2025-05-31 23:23:14.150220,404.36,0,0,0
2025-05-31 23:23:15.159678,405.59,0,0,0
2025-05-31 23:23:16.168926,405.59,1.23,0,0
2025-05-31 23:23:17.189559,406.83,1.23,0,0
2025-05-31 23:23:18.200506,407.67,1.23,0,0
2025-05-31 23:23:19.234612,407.67,2.07,0,0
2025-05-31 23:23:20.238563,407.67,3.3,0,0
2025-05-31 23:23:21.270937,408.9,3.3,0,0
2025-05-31 23:23:22.257661,408.9,4.54,0,0
2025-05-31 23:23:23.274496,408.9,5.77,0,0
2025-05-31 23:23:24.292553,408.9,7,0,0
2025-05-31 23:23:25.305279,408.9,8.23,0,0
2025-05-31 23:23:26.326355,408.9,8.76,0,0
2025-05-31 23:23:27.325247,410.13,8.76,0,0
2025-05-31 23:23:28.346747,410.13,10.84,0,0
2025-05-31 23:23:29.356593,410.13,12.07,0,0
2025-05-31 23:23:30.374468,410.13,12.91,0,0
2025-05-31 23:23:31.392777,411.36,12.91,0,0
2025-05-31 23:23:32.389716,411.36,14.14,0,0
2025-05-31 23:23:33.394838,412.2,14.14,0,0
2025-05-31 23:23:34.405233,413.43,14.14,0,0
2025-05-31 23:23:35.408301,413.43,15.37,0,0
2025-05-31 23:23:36.439735,413.43,16.21,0,0
2025-05-31 23:23:37.443551,414.67,16.21,0,0
2025-05-31 23:23:38.484350,415.51,16.21,0,0
2025-05-31 23:23:39.515993,415.51,17.86,0,0
