num,Longitude,Latitude,Altitude,Pitch,Yaw,Roll,VelocityX,VelocityY,VelocityZ,BatteryVolts,time,GPSFix,NumberOfSatellites
1,-78.6962747,35.7271223,-0.017,0.0010532635496929288,0.011998940259218216,0.0012401430867612362,-0.01,0.01,0.0,12.587,2025-05-31 23:21:12.726438,6,10
2,-78.6962747,35.7271223,-0.017,0.0010505887912586331,0.012257948517799377,0.00124958751257509,-0.01,0.01,0.0,12.587,2025-05-31 23:21:13.727266,6,10
3,-78.6962747,35.7271223,-0.017,0.0010478931944817305,0.012513281777501106,0.0012505900813266635,-0.01,0.01,0.0,12.587,2025-05-31 23:21:14.727982,6,10
4,-78.6962747,35.7271223,-0.017,0.0010451235575601459,0.012762744911015034,0.0012575307628139853,-0.01,0.01,0.0,12.587,2025-05-31 23:21:15.728275,6,10
5,-78.6962747,35.7271223,-0.017,0.0010436788434162736,0.01301615685224533,0.0012638047337532043,-0.01,0.01,0.0,12.587,2025-05-31 23:21:16.729107,6,10
6,-78.6962747,35.7271223,-0.017,0.00103414012119174,0.013270748779177666,0.001262917649000883,-0.01,0.01,0.0,12.587,2025-05-31 23:21:17.729513,6,10
7,-78.6962747,35.7271223,-0.017,0.001031909603625536,0.013515654951334,0.001274507725611329,-0.01,0.01,0.0,12.587,2025-05-31 23:21:18.730628,6,10
8,-78.6962747,35.7271223,-0.017,0.0010300925932824612,0.013768140226602554,0.001265890896320343,-0.01,0.01,0.0,12.587,2025-05-31 23:21:19.731144,6,10
9,-78.6962747,35.7271223,-0.017,0.0010230798507109284,0.014003178104758263,0.0012612033169716597,-0.01,0.01,0.0,12.587,2025-05-31 23:21:20.732129,6,10
10,-78.6962747,35.7271223,-0.017,0.0010240173432976007,0.014237547293305397,0.0012492077657952905,-0.01,0.01,0.0,12.587,2025-05-31 23:21:21.732710,6,10
11,-78.6962747,35.7271223,-0.017,0.0010201189434155822,0.01447416190057993,0.0012562082847580314,-0.01,0.01,0.0,12.587,2025-05-31 23:21:22.733119,6,10
12,-78.6962747,35.7271223,-0.017,0.0010395050048828125,0.01470451895147562,0.0012553877895697951,-0.01,0.01,0.0,12.587,2025-05-31 23:21:23.733960,6,10
13,-78.6962747,35.7271223,-0.017,0.001048340811394155,0.014949172735214233,0.001245659776031971,-0.01,0.01,0.0,12.587,2025-05-31 23:21:24.734571,6,10
14,-78.6962747,35.7271223,-0.017,0.001037847250699997,0.015169555321335793,0.0012461740989238024,-0.01,0.01,0.0,12.587,2025-05-31 23:21:25.734786,6,10
15,-78.6962747,35.7271223,-0.017,0.0010332573438063264,0.015395603142678738,0.001242180005647242,-0.01,0.01,0.0,12.587,2025-05-31 23:21:26.735491,6,10
16,-78.6962747,35.7271223,-0.017,0.0010401876643300056,0.015608898364007473,0.0012491554953157902,-0.01,0.01,0.0,12.587,2025-05-31 23:21:27.737079,6,10
17,-78.6962747,35.7271223,-0.017,0.0010349556105211377,0.015817055478692055,0.0012640788918361068,-0.01,0.01,0.0,12.587,2025-05-31 23:21:28.737962,6,10
